1, coca, 2.5, 12, 2024-03-02
2, pepsi, 2.0, 20, 2024-03-03
3, sprite, 2.3, 15, 2024-03-04
4, fanta, 2.2, 18, 2024-03-05
5, mountain dew, 2.4, 10, 2024-03-06
6, dr pepper, 2.6, 22, 2024-03-07
7, red bull, 2.8, 25, 2024-03-08
8, monster, 3.0, 30, 2024-03-09
9, 7up, 2.1, 14, 2024-03-10
10, rockstar, 3.2, 35, 2024-03-11
11, bang energy, 3.4, 40, 2024-03-12
12, vitamin water, 2.9, 28, 2024-03-13
13, gatorade, 2.7, 24, 2024-03-14
14, powerade, 2.7, 26, 2024-03-15
15, a&w root beer, 2.3, 16, 2024-03-16
16, sunkist, 2.2, 17, 2024-03-17
17, brisk, 2.1, 13, 2024-03-18
18, sobe, 2.0, 19, 2024-03-19
19, mio, 3.1, 32, 2024-03-20
20, amp, 2.9, 29, 2024-03-21
21, arizona, 1.9, 21, 2024-03-22
22, fuze, 1.8, 23, 2024-03-23
23, nesquik, 2.4, 27, 2024-03-24
24, snapple, 2.5, 33, 2024-03-25
25, tazo, 3.5, 36, 2024-03-26
26, v8, 3.3, 37, 2024-03-27
27, zico, 3.2, 31, 2024-03-28
28, sanpellegrino, 3.1, 34, 2024-03-29
29, hint, 3.0, 39, 2024-03-30
30, core, 2.8, 38, 2024-03-31
